Employee_No,year,month,SiteNo,Area,Accomadation Allowance,Accommodation Allowance,Add. Allow. No Pay Deduction,Additional Allowance_0,Additional Allowance_2,Allow - Extra Working Hours,Attendance Allowance Rate,Attendance Allowance_0,Attendance Allowance_2,BRA1,BRA1 Amount,BRA1WSL,BRA2,BRA2 Amount,BRA2WSL,Basic Day Rate,Basic Rate for EPF,Basic Rate_2,Basic Rate_3,Basic Salary for EPF,Basic Salary_0,Basic Salary_2,Basic per Day,EPF Employee 8%,EPF Employer 12%,EPF Staff No Pay Full Day,EPF Staff No Pay Half Day,EPF staff Halfdays,EPF staff full workdays,ETF Employer 3%,Ex Work Hours Allownace,Fixed Amount,Fixed OT Entitlement,Fixed OT Hours,Hard Ship Allowance Rate,Hard Ship Allowance_0,Hard Ship Allowance_2,Hard ship Allowance Rate,Leave Leave Full Day,Leave Leave Halfday,Lieu Leave,Meal Allowance,Month Day Count,Net Salary,No Pay,No Pay Days,No Pay Deduction,No Pay Rate,No of Full Worked Days,No of Half Days,OT (Type = 2),OT Amount 1.5_0,OT Amount 1.5_2,OT Hours,OT Rate,OT Rate 1.5,OT Rate 2,Other Allowance,Other Allowance Amount,Other Allowance Rate,Other Deduction,Payee Month,Per Day Rate Total,Performance Allowance,Performance Allowance Rate,Performance Allownace Fixed,Salary Advance,Salary Arrears_0,Salary Arrears_2,Site Fixed Allowance,Special Allowance,Special Task Allowance,Stamp Duty,Telephone Allowance,Telephone Deduction,Total Cost to the Company,Total Deduction,Total Earnings_0,Total Earnings_2,Total Fixed,Total V.Allowance,Total Working Days,Travelling Allowance,V. ALLW -Site,V. ALLW Rate -Site,V. Allow - Drivers Travel,V. Allow - Operator,V. Allowance Attendance,Vehicle Allownace,WSL Advance,WSL Basic,WSL Basic Salary,WSL Day Rate,WSL Net Salary,WSL No of Full Worked Days,WSL No of Half Days,WSL OT 1.5,WSL OT Hours 1.5,WSL OT Rate,WSL Total Earning,WSL Total Working Days,WSLOther Allowance Rate,Working Days - Full,Working Days - Half Day
347,2021,7,1,Colombo ,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,26000,0,0,28500,0,0,2280,3420,0,0,2.5,17,855,0,6000,0,0,0,0,0,0,0,0,0,0,0,35107.43,0,0,0,0,0,0,0,2912.43,0,16.35,178.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,37412.43,34500,0,18.25,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,2021,8,1,Colombo ,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,26000,0,0,28500,0,0,2280,3420,0,0,3,10,855,0,6000,0,0,0,0,0,0,0,0,0,0,0,33051.81,0,0,0,0,0,0,0,856.81,0,4.81,178.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,35356.81,34500,0,11.5,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,2021,9,1,Colombo ,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,26000,0,0,28500,0,0,2280,3420,0,0,2.5,16,855,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3909.95,0,21.95,178.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,38409.95,34500,0,17.25,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,2021,10,1,Colombo ,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,26000,0,0,28500,0,0,2280,3420,0,0,1.5,20,855,0,6000,0,0,0,0,0,0,0,0,0,0,0,34020.83,0,0,0,0,0,0,0,1825.83,0,10.25,178.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,36325.83,34500,0,21.5,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,2021,11,1,Colombo ,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,26000,0,0,28500,0,0,2280,3420,0,0,0.5,24,855,0,6000,0,0,0,0,0,0,0,0,0,0,23,34733.35,0,0,0,0,0,0,0,2538.35,0,14.25,178.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2305,0,37038.35,34500,0,24.5,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,2021,12,1,Colombo ,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,26000,0,0,28500,0,0,2280,3420,0,0,0.5,22,855,0,6000,0,0,0,0,0,0,0,0,0,0,24,35490.41,0,0,0,0,0,0,0,3295.41,0,18.5,178.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2305,0,37795.41,34500,0,22.5,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,2022,1,1,Colombo ,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,26000,0,0,28500,0,0,2280,3420,0,0,0,22,855,0,6000,0,0,0,0,0,0,0,0,0,0,21.5,35000.55,0,0,0,0,0,0,0,2805.55,0,15.75,178.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2305,0,37305.55,34500,0,22,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,2022,2,1,Colombo ,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,26000,0,0,28500,0,0,2280,3420,0,0,0,22,855,0,6000,0,0,0,0,0,0,0,0,0,0,20,37138.11,0,0,0,0,0,0,0,4943.11,0,27.75,178.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2305,0,39443.11,34500,0,22,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,2022,3,1,Colombo ,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,26000,0,0,28500,0,0,2280,3420,0,0,0,24,855,0,6000,0,0,0,0,0,0,0,0,0,0,24,34911.48,0,0,0,0,0,0,0,2716.48,0,15.25,178.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,2305,0,37216.48,34500,0,24,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,2022,4,1,Colombo ,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0,0,26000,0,0,28500,0,0,2280,3420,0,0,0,20,855,0,6000,0,0,0,0,0,0,0,0,0,0,21,34020.83,0,0,0,0,0,0,0,1825.83,0,10.25,178.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,38295.83,2305,0,36325.83,34500,0,20,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
