Employee_No,year,month,SiteNo,Area,Earning,Deduction,Net_salary
347,2021,7,1.0,Colombo ,74824.86,2305.0,72519.86
347,2021,8,1.0,Colombo ,70713.62,2305.0,68408.62
347,2021,9,1.0,Colombo ,76819.9,2305.0,74514.9
347,2021,10,1.0,Colombo ,72651.66,2305.0,70346.66
347,2021,11,1.0,Colombo ,74076.7,2305.0,71771.7
347,2021,12,1.0,Colombo ,75590.82,2305.0,73285.82
347,2022,1,1.0,Colombo ,74611.1,2305.0,72306.1
347,2022,2,1.0,Colombo ,78886.22,2305.0,76581.22
347,2022,3,1.0,Colombo ,74432.96,2305.0,72127.96
347,2022,4,1.0,Colombo ,72651.66,2305.0,70346.66
347,2022,5,1.0,Colombo ,71850.08,2305.0,69545.08
347,2022,6,1.0,Colombo ,69890.66,2305.0,67585.66
347,2022,7,1.0,Colombo ,69267.2,2305.0,66962.2
347,2022,8,1.0,Colombo ,72918.86,2305.0,70613.86
347,2022,9,1.0,Colombo ,72384.48,2305.0,70079.48
347,2022,10,1.0,Colombo ,73987.64,2305.0,71682.64
347,2022,11,1.0,Colombo ,73186.06,2305.0,70881.06
347,2022,12,1.0,Colombo ,73097.0,3916.0,69181.0
348,2021,7,1.0,Colombo ,84346.2,2201.0,82145.2
348,2021,8,1.0,Colombo ,80743.2,2201.0,78542.2
348,2021,9,169.0,Mathara,126788.6,2201.0,124587.6
348,2021,10,194.1,Anuradhapura,148050.0,2201.0,145849.0
348,2021,11,1.0,Colombo ,103635.0,2201.0,101434.0
348,2021,12,1.0,Colombo ,148775.0,2201.0,146574.0
348,2022,1,1.0,Colombo ,183405.0,2201.0,181204.0
348,2022,2,1.0,Colombo ,134870.0,2201.0,132669.0
348,2022,3,1.0,Colombo ,139640.0,2201.0,137439.0
348,2022,4,1.0,Colombo ,109795.0,2201.0,107594.0
348,2022,5,1.0,Colombo ,112030.0,2201.0,109829.0
348,2022,6,1.0,Colombo ,118735.0,2201.0,116534.0
348,2022,7,1.0,Colombo ,72610.0,7201.0,65409.0
348,2022,8,1.0,Colombo ,135035.0,2201.0,132834.0
348,2022,9,1.0,Colombo ,128930.0,2201.0,126729.0
